No,Product Type,Keywords,Primary (Hex),Secondary (Hex),CTA (Hex),Background (Hex),Text (Hex),Border (Hex),Notes,Tailwind_Config,Glow_Effects,Dark_Mode_Colors,Semantic_Mapping,Data_Viz_Palette,Semantic_Tokens
78,Newsletter/Email,"newsletter, email, substack, beehiiv, mailchimp, convertkit, subscriber, digest, campaign, inbox",#0A2540,#64748B,#EF4444,#FFFFFF,#1A1A1A,#E5E7EB,2026 Newsletter/Email: Deep navy #0A2540 (Substack-inspired brand trust) + Neutral slate #64748B (readable body text hierarchy) + Vibrant red CTA #EF4444 (high-contrast 7:1 subscribe/action button) + Pure white BG #FFFFFF (email client safe) + Near-black text #1A1A1A (maximum readability) + Email-safe web fonts + WCAG AA compliant + Dark mode auto-invert ready + Unsubscribe clarity (#64748B muted),"{ primary: '#0A2540', secondary: '#64748B', cta: '#EF4444', background: '#FFFFFF', foreground: '#1A1A1A' }","box-shadow: 0 0 20px rgba(239,68,68,0.4); text-shadow: 0 0 10px rgba(10,37,64,0.5);","{ background: '#1A1A1A', text: '#F8FAFC', primary: '#3B82F6', secondary: '#94A3B8', cta: '#F87171', border: '#374151' }","{""background"":""#FFFFFF"",""foreground"":""#1A1A1A"",""primary"":""#0A2540"",""primary-foreground"":""#FFFFFF"",""secondary"":""#64748B"",""secondary-foreground"":""#FFFFFF"",""muted"":""#F3F4F6"",""accent"":""#EF4444"",""destructive"":""#DC2626"",""success"":""#22C55E"",""info"":""#3B82F6""}","[""#0A2540"",""#1E3A5F"",""#3B82F6"",""#64748B"",""#94A3B8"",""#EF4444"",""#22C55E""]","{""background"":""#FFFFFF"",""foreground"":""#1A1A1A"",""card"":""#FFFFFF"",""card-foreground"":""#1A1A1A"",""popover"":""#F9FAFB"",""popover-foreground"":""#1A1A1A"",""primary"":""#0A2540"",""primary-foreground"":""#FFFFFF"",""secondary"":""#64748B"",""secondary-foreground"":""#FFFFFF"",""muted"":""#F3F4F6"",""muted-foreground"":""#6B7280"",""accent"":""#EF4444"",""accent-foreground"":""#FFFFFF"",""destructive"":""#DC2626"",""destructive-foreground"":""#FFFFFF"",""success"":""#22C55E"",""success-foreground"":""#FFFFFF"",""info"":""#3B82F6"",""info-foreground"":""#FFFFFF"",""border"":""#E5E7EB"",""input"":""#E5E7EB"",""ring"":""#0A2540""}"
79,Digital Products/Downloads,"digital, products, downloads, gumroad, envato, creative market, ebook, template, asset, marketplace, creator",#8B5CF6,#A8E6CF,#FF6B9D,#0F0F14,#F8FAFC,#1E1E2E,2026 Digital Marketplace: Hyper-Violet #8B5CF6 (Gumroad-inspired creator energy/futurism) + Synthesized Mint #A8E6CF (file type differentiation graphics/assets) + Thermal Glow Pink CTA #FF6B9D (high-conversion download/purchase action) + Neobrutalist dark BG #0F0F14 (immersive product showcase OLED-optimized) + File type accents (PDF=#4A2C2A chocolate Videos=#D99F5B amber Audio=#006D77 teal Graphics=#A8E6CF mint) + Download states (idle=#64748B active=gradient complete=#22C55E error=#FF1493) + Mesh gradient product cards + Thick border neobrutalism,"{ primary: '#8B5CF6', secondary: '#A8E6CF', cta: '#FF6B9D', background: '#0F0F14', foreground: '#F8FAFC' }","box-shadow: 0 0 25px rgba(139,92,246,0.5), 0 0 50px rgba(255,107,157,0.3); text-shadow: 0 0 15px rgba(168,230,207,0.6);","{ background: '#0F0F14', text: '#F8FAFC', primary: '#8B5CF6', secondary: '#A8E6CF', cta: '#FF6B9D', border: '#1E1E2E' }","{""background"":""#0F0F14"",""foreground"":""#F8FAFC"",""primary"":""#8B5CF6"",""primary-foreground"":""#FFFFFF"",""secondary"":""#A8E6CF"",""secondary-foreground"":""#0F0F14"",""muted"":""#1E1E2E"",""accent"":""#FF6B9D"",""destructive"":""#FF1493"",""success"":""#22C55E"",""warning"":""#D99F5B"",""info"":""#006D77"",""pdf"":""#4A2C2A"",""video"":""#D99F5B"",""audio"":""#006D77"",""graphics"":""#A8E6CF""}","[""#C4B5FD"",""#A78BFA"",""#8B5CF6"",""#7C3AED"",""#6D28D9"",""#A8E6CF"",""#FF6B9D"",""#22C55E""]","{""background"":""#0F0F14"",""foreground"":""#F8FAFC"",""card"":""#16161D"",""card-foreground"":""#F8FAFC"",""popover"":""#1A1A24"",""popover-foreground"":""#F8FAFC"",""primary"":""#8B5CF6"",""primary-foreground"":""#FFFFFF"",""secondary"":""#A8E6CF"",""secondary-foreground"":""#0F0F14"",""muted"":""#1E1E2E"",""muted-foreground"":""#94A3B8"",""accent"":""#FF6B9D"",""accent-foreground"":""#FFFFFF"",""destructive"":""#FF1493"",""destructive-foreground"":""#FFFFFF"",""success"":""#22C55E"",""success-foreground"":""#000000"",""warning"":""#D99F5B"",""warning-foreground"":""#000000"",""info"":""#006D77"",""info-foreground"":""#FFFFFF"",""pdf"":""#4A2C2A"",""pdf-foreground"":""#FFFFFF"",""video"":""#D99F5B"",""video-foreground"":""#000000"",""audio"":""#006D77"",""audio-foreground"":""#FFFFFF"",""graphics"":""#A8E6CF"",""graphics-foreground"":""#0F0F14"",""border"":""#1E1E2E"",""input"":""#1A1A24"",""ring"":""#8B5CF6""}"
80,Church/Religious Organization,"church, religious, organization, faith, spiritual, worship, ministry, congregation, community, sacred, welcoming",#2D3163,#4A90E2,#D4AF37,#FAFBF6,#1A1A2E,#E8E4D9,2026 Sacred Community UI: Deep reverent navy #2D3163 (sacred dignity/spiritual depth/stained glass influence) + Welcoming sky blue #4A90E2 (peace/trust/accessible to all denominations) + Liturgical gold CTA #D4AF37 (hope/divine warmth/spiritual action) + Pure cream BG #FAFBF6 (purity/clean sanctuary aesthetic) + Multi-faith flexibility + Event/sermon categories (Worship=#2D3163 Community=#4A90E2 Youth=#6DC9A8 Outreach=#D4AF37) + WCAG AA accessible + Modern minimalist church aesthetic inspired by Red Rocks/Summit Church designs,"{ primary: '#2D3163', secondary: '#4A90E2', cta: '#D4AF37', background: '#FAFBF6', foreground: '#1A1A2E' }","box-shadow: 0 0 20px rgba(212,175,55,0.35); text-shadow: 0 0 12px rgba(45,49,99,0.4);","{ background: '#0F0F1A', text: '#FAFBF6', primary: '#3D4183', secondary: '#5AA0F2', cta: '#E4BF47', border: '#1E1E2E' }","{""background"":""#FAFBF6"",""foreground"":""#1A1A2E"",""primary"":""#2D3163"",""primary-foreground"":""#FFFFFF"",""secondary"":""#4A90E2"",""secondary-foreground"":""#FFFFFF"",""muted"":""#8B8FAD"",""accent"":""#D4AF37"",""destructive"":""#C53030"",""success"":""#2D6A4F"",""warning"":""#B7791F"",""worship"":""#2D3163"",""community"":""#4A90E2"",""youth"":""#6DC9A8"",""outreach"":""#D4AF37""}","[""#FAFBF6"",""#E8E4D9"",""#D4AF37"",""#E5C158"",""#4A90E2"",""#3D4183"",""#2D3163""]","{""background"":""#FAFBF6"",""foreground"":""#1A1A2E"",""card"":""#FFFFFF"",""card-foreground"":""#1A1A2E"",""popover"":""#FFFFFF"",""popover-foreground"":""#1A1A2E"",""primary"":""#2D3163"",""primary-foreground"":""#FFFFFF"",""secondary"":""#4A90E2"",""secondary-foreground"":""#FFFFFF"",""muted"":""#F5F3EE"",""muted-foreground"":""#5C5A6B"",""accent"":""#D4AF37"",""accent-foreground"":""#1A1A2E"",""destructive"":""#C53030"",""destructive-foreground"":""#FFFFFF"",""success"":""#2D6A4F"",""success-foreground"":""#FFFFFF"",""warning"":""#B7791F"",""warning-foreground"":""#FFFFFF"",""worship"":""#2D3163"",""worship-foreground"":""#FFFFFF"",""community"":""#4A90E2"",""community-foreground"":""#FFFFFF"",""youth"":""#6DC9A8"",""youth-foreground"":""#1A1A2E"",""outreach"":""#D4AF37"",""outreach-foreground"":""#1A1A2E"",""border"":""#E8E4D9"",""input"":""#E8E4D9"",""ring"":""#2D3163""}"
81,Sports Team/Club,"sports, team, club, athletic, fan engagement, victory, championship, stadium, esports, league",#002A5E,#0074FF,#FFDD00,#0A0F14,#F8FAFC,#1E3A5F,2026 Sports Team Victory Surge: Deep navy #002A5E (team strength/trust/authority) + Electric blue #0074FF (dynamic energy/speed/animations) + Victory gold CTA #FFDD00 (trophy celebration/championship moments/high-conversion action) + Dark immersive BG #0A0F14 (stadium night mode/OLED-optimized fan engagement) + Neon green #00FF85 for live scores/win animations + Dark mode first design + Gritty halftone textures + 3D elements + Social feed integration + Mobile-first responsive + Hover neon pulses + 4.5:1 WCAG contrast on vibrant backgrounds,"{ primary: '#002A5E', secondary: '#0074FF', cta: '#FFDD00', background: '#0A0F14', foreground: '#F8FAFC' }","box-shadow: 0 0 25px rgba(255,221,0,0.5), 0 0 50px rgba(0,116,255,0.3); text-shadow: 0 0 15px rgba(0,255,133,0.6);","{ background: '#0A0F14', text: '#F8FAFC', primary: '#002A5E', secondary: '#0074FF', cta: '#FFDD00', border: '#1E3A5F' }","{""background"":""#0A0F14"",""foreground"":""#F8FAFC"",""primary"":""#002A5E"",""primary-foreground"":""#FFFFFF"",""secondary"":""#0074FF"",""secondary-foreground"":""#FFFFFF"",""muted"":""#1E3A5F"",""accent"":""#FFDD00"",""destructive"":""#EF4444"",""success"":""#00FF85"",""live"":""#00FF85"",""win"":""#FFDD00"",""loss"":""#EF4444""}","[""#003D7A"",""#002A5E"",""#001A3D"",""#0074FF"",""#0058CC"",""#FFDD00"",""#00FF85""]","{""background"":""#0A0F14"",""foreground"":""#F8FAFC"",""card"":""#111827"",""card-foreground"":""#F8FAFC"",""popover"":""#1F2937"",""popover-foreground"":""#F8FAFC"",""primary"":""#002A5E"",""primary-foreground"":""#FFFFFF"",""secondary"":""#0074FF"",""secondary-foreground"":""#FFFFFF"",""muted"":""#1E3A5F"",""muted-foreground"":""#94A3B8"",""accent"":""#FFDD00"",""accent-foreground"":""#000000"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""success"":""#00FF85"",""success-foreground"":""#000000"",""live"":""#00FF85"",""live-foreground"":""#000000"",""win"":""#FFDD00"",""win-foreground"":""#000000"",""loss"":""#EF4444"",""loss-foreground"":""#FFFFFF"",""border"":""#1E3A5F"",""input"":""#1F2937"",""ring"":""#0074FF""}"
82,Museum/Gallery,"museum, gallery, art, exhibition, cultural, institution, contemporary, modern art, collection, curator, archive",#2C2C2C,#A67C52,#C9A961,#FAFAF8,#1A1A1A,#E5E0D8,2026 Museum/Gallery UI: Gallery charcoal #2C2C2C (art-neutral sophistication/minimal distraction from exhibits) + Warm terracotta #A67C52 (2026 earth-tone trend/exhibition warmth/cultural heritage) + Champagne gold CTA #C9A961 (cultural prestige/quiet luxury accent/ticket actions) + Cloud Dancer white BG #FAFAF8 (Pantone 2026 inspired purity/gallery-clean showcase) + Near-black text #1A1A1A (maximum artwork label readability) + Soft stone borders #E5E0D8 (warm neutral frames) + Exhibition categories (Permanent=#2C2C2C Temporary=#A67C52 Special=#C9A961) + Full-bleed hero images + Ample white space (40-60px padding) + WCAG AA accessible + Modern minimal museum aesthetic inspired by MoMA/Tate/Guggenheim digital experiences,"{ primary: '#2C2C2C', secondary: '#A67C52', cta: '#C9A961', background: '#FAFAF8', foreground: '#1A1A1A' }","box-shadow: 0 0 20px rgba(201,169,97,0.25); text-shadow: none;","{ background: '#121212', text: '#FAFAF8', primary: '#3C3C3C', secondary: '#B68C62', cta: '#D9B971', border: '#2A2A2A' }","{""background"":""#FAFAF8"",""foreground"":""#1A1A1A"",""primary"":""#2C2C2C"",""primary-foreground"":""#FFFFFF"",""secondary"":""#A67C52"",""secondary-foreground"":""#FFFFFF"",""muted"":""#E5E0D8"",""accent"":""#C9A961"",""destructive"":""#C53030"",""permanent"":""#2C2C2C"",""temporary"":""#A67C52"",""special"":""#C9A961""}","[""#FAFAF8"",""#F5F3F0"",""#E5E0D8"",""#C9A961"",""#A67C52"",""#5C5C5C"",""#2C2C2C""]","{""background"":""#FAFAF8"",""foreground"":""#1A1A1A"",""card"":""#FFFFFF"",""card-foreground"":""#1A1A1A"",""popover"":""#FFFFFF"",""popover-foreground"":""#1A1A1A"",""primary"":""#2C2C2C"",""primary-foreground"":""#FFFFFF"",""secondary"":""#A67C52"",""secondary-foreground"":""#FFFFFF"",""muted"":""#F5F3F0"",""muted-foreground"":""#6B6B6B"",""accent"":""#C9A961"",""accent-foreground"":""#1A1A1A"",""destructive"":""#C53030"",""destructive-foreground"":""#FFFFFF"",""permanent"":""#2C2C2C"",""permanent-foreground"":""#FFFFFF"",""temporary"":""#A67C52"",""temporary-foreground"":""#FFFFFF"",""special"":""#C9A961"",""special-foreground"":""#1A1A1A"",""border"":""#E5E0D8"",""input"":""#E5E0D8"",""ring"":""#2C2C2C""}"
83,Theater/Performing Arts,"theater, performing arts, broadway, stage, opera, ballet, concert hall, venue, drama, curtain, spotlight, auditorium, live performance",#8B0000,#4A0000,#D4AF37,#0D0D0D,#F5F0E6,#1A1A1A,2026 Theater/Performing Arts: Deep crimson velvet #8B0000 (dramatic stage curtain richness/Broadway heritage/emotional intensity) + Dark burgundy #4A0000 (theater depth/hover states/velvet shadows) + Spotlight gold CTA #D4AF37 (prestigious accent/ticket purchase/featured shows) + Auditorium black BG #0D0D0D (darkened house ambiance/focus on content) + Warm ivory text #F5F0E6 (playbill elegance/high contrast readability) + Charcoal borders #1A1A1A (stage framing) + Show status (Now Playing=#D4AF37 Coming Soon=#8B0000 Sold Out=#4A0000) + Velvet texture overlays + Spotlight gradient effects + Parallax curtain reveals + WCAG AA contrast + Modern venue digital experience inspired by Lincoln Center/West End/Sydney Opera House,"{ primary: '#8B0000', secondary: '#4A0000', cta: '#D4AF37', background: '#0D0D0D', foreground: '#F5F0E6' }","box-shadow: 0 0 30px rgba(212,175,55,0.5); text-shadow: 0 0 15px rgba(212,175,55,0.4);","{ background: '#0D0D0D', text: '#F5F0E6', primary: '#A01010', secondary: '#5A1010', cta: '#E4BF47', border: '#2A2020' }","{""background"":""#0D0D0D"",""foreground"":""#F5F0E6"",""primary"":""#8B0000"",""primary-foreground"":""#FFFFFF"",""secondary"":""#4A0000"",""secondary-foreground"":""#F5F0E6"",""muted"":""#1A1A1A"",""accent"":""#D4AF37"",""destructive"":""#DC143C"",""nowPlaying"":""#D4AF37"",""comingSoon"":""#8B0000"",""soldOut"":""#4A0000""}","[""#0D0D0D"",""#1A1A1A"",""#4A0000"",""#8B0000"",""#A52A2A"",""#D4AF37"",""#F2D492""]","{""background"":""#0D0D0D"",""foreground"":""#F5F0E6"",""card"":""#1A1A1A"",""card-foreground"":""#F5F0E6"",""popover"":""#1A1A1A"",""popover-foreground"":""#F5F0E6"",""primary"":""#8B0000"",""primary-foreground"":""#FFFFFF"",""secondary"":""#4A0000"",""secondary-foreground"":""#F5F0E6"",""muted"":""#2A2020"",""muted-foreground"":""#A09080"",""accent"":""#D4AF37"",""accent-foreground"":""#0D0D0D"",""destructive"":""#DC143C"",""destructive-foreground"":""#FFFFFF"",""nowPlaying"":""#D4AF37"",""nowPlaying-foreground"":""#0D0D0D"",""comingSoon"":""#8B0000"",""comingSoon-foreground"":""#FFFFFF"",""soldOut"":""#4A0000"",""soldOut-foreground"":""#A09080"",""border"":""#2A2020"",""input"":""#1A1A1A"",""ring"":""#D4AF37""}"
84,Language Learning App,"language, learning, app",#0D9488,#2DD4BF,#EA580C,#F0FDFA,#134E4A,#5EEAD4,Playful colors + Progress indicators + Country flags,"{ primary: '#0D9488', secondary: '#2DD4BF', cta: '#EA580C', background: '#F0FDFA', foreground: '#134E4A' }","box-shadow: 0 0 20px rgba(234,88,12,0.4); text-shadow: 0 0 10px rgba(234,88,12,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#0D9488', secondary: '#2DD4BF', cta: '#EA580C', border: '#27272A' }","{""background"":""#F0FDFA"",""foreground"":""#134E4A"",""primary"":""#0D9488"",""primary-foreground"":""#FFFFFF"",""secondary"":""#2DD4BF"",""secondary-foreground"":""#000000"",""muted"":""#31c9bf"",""accent"":""#EA580C"",""destructive"":""#EF4444""}","[""#1cebd9"",""#11c3b3"",""#0D9488"",""#09655d"",""#053632"",""#2dd4bf"",""#23ab9a""]","{""background"":""#F0FDFA"",""foreground"":""#134E4A"",""card"":""#FFFFFF"",""card-foreground"":""#134E4A"",""popover"":""#FFFFFF"",""popover-foreground"":""#134E4A"",""primary"":""#0D9488"",""primary-foreground"":""#FFFFFF"",""secondary"":""#2DD4BF"",""secondary-foreground"":""#000000"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#EA580C"",""accent-foreground"":""#FFFFFF"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#5EEAD4"",""input"":""#5EEAD4"",""ring"":""#0D9488""}"
85,Coding Bootcamp,"coding, bootcamp, edtech, developer, terminal, learn to code, fullstack, programming",#00F5FF,#39FF14,#AA00FF,#0A0A0A,#E0E0E0,#2D2D2D,2026 Terminal Dark Mode: Electric cyan #00F5FF (progress bars/active states) + Neon green #39FF14 (achievements/success badges) + Vibrant purple CTA #AA00FF (premium features/dev tools) + Pure terminal black BG #0A0A0A + Achievement tiers (Beginner=cyan Intermediate=green Advanced=purple Master=gold) + VS Code-inspired syntax highlighting accents,"{ primary: '#00F5FF', secondary: '#39FF14', cta: '#AA00FF', background: '#0A0A0A', foreground: '#E0E0E0' }","box-shadow: 0 0 25px rgba(0,245,255,0.5); text-shadow: 0 0 12px rgba(57,255,20,0.6);","{ background: '#0A0A0A', text: '#E0E0E0', primary: '#00F5FF', secondary: '#39FF14', cta: '#AA00FF', border: '#2D2D2D' }","{""background"":""#0A0A0A"",""foreground"":""#E0E0E0"",""primary"":""#00F5FF"",""primary-foreground"":""#000000"",""secondary"":""#39FF14"",""secondary-foreground"":""#000000"",""muted"":""#2D2D2D"",""accent"":""#AA00FF"",""destructive"":""#FF4757"",""success"":""#39FF14"",""warning"":""#FF9500"",""info"":""#007ACC""}","[""#00F5FF"",""#39FF14"",""#AA00FF"",""#FF9500"",""#007ACC"",""#FFD700"",""#FF4757""]","{""background"":""#0A0A0A"",""foreground"":""#E0E0E0"",""card"":""#1A1A1A"",""card-foreground"":""#E0E0E0"",""popover"":""#1A1A1A"",""popover-foreground"":""#E0E0E0"",""primary"":""#00F5FF"",""primary-foreground"":""#000000"",""secondary"":""#39FF14"",""secondary-foreground"":""#000000"",""muted"":""#2D2D2D"",""muted-foreground"":""#A0A0A0"",""accent"":""#AA00FF"",""accent-foreground"":""#FFFFFF"",""destructive"":""#FF4757"",""destructive-foreground"":""#FFFFFF"",""success"":""#39FF14"",""success-foreground"":""#000000"",""warning"":""#FF9500"",""warning-foreground"":""#000000"",""border"":""#2D2D2D"",""input"":""#1A1A1A"",""ring"":""#00F5FF""}"
86,Cybersecurity Platform,"cybersecurity, security, cyber, hacker",#00FF41,#0D0D0D,#00FF41,#000000,#E0E0E0,#1F1F1F,Matrix Green + Deep Black + Terminal feel,"{ primary: '#00FF41', secondary: '#0D0D0D', cta: '#00FF41', background: '#000000', foreground: '#E0E0E0' }","box-shadow: 0 0 20px rgba(0,255,65,0.4); text-shadow: 0 0 10px rgba(0,255,65,0.6);","{ background: '#000000', text: '#E0E0E0', primary: '#00FF41', secondary: '#0D0D0D', cta: '#00FF41', border: '#1F1F1F' }","{""background"":""#000000"",""foreground"":""#E0E0E0"",""primary"":""#00FF41"",""primary-foreground"":""#000000"",""secondary"":""#0D0D0D"",""secondary-foreground"":""#FFFFFF"",""muted"":""#ffffff"",""accent"":""#00FF41"",""destructive"":""#EF4444""}","[""#66ff8d"",""#33ff67"",""#00FF41"",""#00cc34"",""#009927"",""#0d0d0d"",""#000000""]","{""background"":""#000000"",""foreground"":""#E0E0E0"",""card"":""#0C0C0C"",""card-foreground"":""#E0E0E0"",""popover"":""#0C0C0C"",""popover-foreground"":""#E0E0E0"",""primary"":""#00FF41"",""primary-foreground"":""#000000"",""secondary"":""#0D0D0D"",""secondary-foreground"":""#FFFFFF"",""muted"":""#191919"",""muted-foreground"":""#A1A1AA"",""accent"":""#00FF41"",""accent-foreground"":""#000000"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#1F1F1F"",""input"":""#262626"",""ring"":""#00FF41""}"
87,Developer Tool / IDE,"developer, tool, ide, code, dev",#3B82F6,#1E293B,#2563EB,#0F172A,#F1F5F9,#334155,Dark syntax theme colors + Blue focus,"{ primary: '#3B82F6', secondary: '#1E293B', cta: '#2563EB', background: '#0F172A', foreground: '#F1F5F9' }","box-shadow: 0 0 20px rgba(37,99,235,0.4); text-shadow: 0 0 10px rgba(37,99,235,0.6);","{ background: '#0F172A', text: '#F1F5F9', primary: '#3B82F6', secondary: '#1E293B', cta: '#2563EB', border: '#334155' }","{""background"":""#0F172A"",""foreground"":""#F1F5F9"",""primary"":""#3B82F6"",""primary-foreground"":""#FFFFFF"",""secondary"":""#1E293B"",""secondary-foreground"":""#FFFFFF"",""muted"":""#ffffff"",""accent"":""#2563EB"",""destructive"":""#EF4444""}","[""#9dc0fa"",""#6ca1f8"",""#3B82F6"",""#0b63f3"",""#094fc2"",""#1e293b"",""#0d1219""]","{""background"":""#0F172A"",""foreground"":""#F1F5F9"",""card"":""#1B2234"",""card-foreground"":""#F1F5F9"",""popover"":""#1B2234"",""popover-foreground"":""#F1F5F9"",""primary"":""#3B82F6"",""primary-foreground"":""#FFFFFF"",""secondary"":""#1E293B"",""secondary-foreground"":""#FFFFFF"",""muted"":""#272E3F"",""muted-foreground"":""#A1A1AA"",""accent"":""#2563EB"",""accent-foreground"":""#FFFFFF"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#334155"",""input"":""#333949"",""ring"":""#3B82F6""}"
88,Biotech / Life Sciences,"biotech, science, biology, medical",#0EA5E9,#0284C7,#10B981,#F8FAFC,#0F172A,#E2E8F0,Sterile White + DNA Blue + Life Green,"{ primary: '#0EA5E9', secondary: '#0284C7', cta: '#10B981', background: '#F8FAFC', foreground: '#0F172A' }","box-shadow: 0 0 20px rgba(16,185,129,0.4); text-shadow: 0 0 10px rgba(16,185,129,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#0EA5E9', secondary: '#0284C7', cta: '#10B981', border: '#27272A' }","{""background"":""#F8FAFC"",""foreground"":""#0F172A"",""primary"":""#0EA5E9"",""primary-foreground"":""#FFFFFF"",""secondary"":""#0284C7"",""secondary-foreground"":""#FFFFFF"",""muted"":""#37559b"",""accent"":""#10B981"",""destructive"":""#EF4444""}","[""#67caf6"",""#37b9f3"",""#0EA5E9"",""#0b83b9"",""#086189"",""#0284c7"",""#016294""]","{""background"":""#F8FAFC"",""foreground"":""#0F172A"",""card"":""#FFFFFF"",""card-foreground"":""#0F172A"",""popover"":""#FFFFFF"",""popover-foreground"":""#0F172A"",""primary"":""#0EA5E9"",""primary-foreground"":""#000000"",""secondary"":""#0284C7"",""secondary-foreground"":""#FFFFFF"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#10B981"",""accent-foreground"":""#000000"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#E2E8F0"",""input"":""#E2E8F0"",""ring"":""#0EA5E9""}"
